year,month,week_number,inflation_rate,inflation_mom_change
2019,3,47,4.3,0.2999999999999998
2019,3,48,4.3,0.2999999999999998
2019,3,49,4.3,0.2999999999999998
2019,3,50,4.3,0.2999999999999998
2019,3,51,4.3,0.2999999999999998
2019,3,52,4.3,0.2999999999999998
2019,3,53,4.3,0.2999999999999998
2019,4,1,4.5,0.20000000000000018
2019,4,2,4.5,0.20000000000000018
2019,4,3,4.5,0.20000000000000018
2019,4,4,4.5,0.20000000000000018
2019,4,5,4.5,0.20000000000000018
2019,4,6,4.5,0.20000000000000018
2019,4,7,4.5,0.20000000000000018
2019,4,8,4.5,0.20000000000000018
2019,4,9,4.5,0.20000000000000018
2019,4,10,4.5,0.20000000000000018
2019,4,11,4.5,0.20000000000000018
2019,4,12,4.5,0.20000000000000018
2019,4,13,4.5,0.20000000000000018
2019,4,14,4.5,0.20000000000000018
2019,4,15,4.5,0.20000000000000018
2019,4,16,4.5,0.20000000000000018
2019,4,17,4.5,0.20000000000000018
2019,4,18,4.5,0.20000000000000018
2019,4,19,4.5,0.20000000000000018
2019,4,20,4.5,0.20000000000000018
2019,4,21,4.5,0.20000000000000018
2019,4,22,4.5,0.20000000000000018
2019,4,23,4.5,0.20000000000000018
2019,4,24,4.5,0.20000000000000018
2019,4,25,4.5,0.20000000000000018
2019,4,26,4.5,0.20000000000000018
2019,4,27,4.5,0.20000000000000018
2019,4,28,4.5,0.20000000000000018
2019,4,29,4.5,0.20000000000000018
2019,4,30,4.5,0.20000000000000018
2019,4,31,4.5,0.20000000000000018
2019,4,32,4.5,0.20000000000000018
2019,4,33,4.5,0.20000000000000018
2019,4,34,4.5,0.20000000000000018
2019,4,35,4.5,0.20000000000000018
2019,4,36,4.5,0.20000000000000018
2019,4,37,4.5,0.20000000000000018
2019,4,38,4.5,0.20000000000000018
2019,4,39,4.5,0.20000000000000018
2019,4,40,4.5,0.20000000000000018
2019,4,41,4.5,0.20000000000000018
2019,4,42,4.5,0.20000000000000018
2019,4,43,4.5,0.20000000000000018
2019,4,44,4.5,0.20000000000000018
2019,4,45,4.5,0.20000000000000018
2019,4,46,4.5,0.20000000000000018
2019,4,47,4.5,0.20000000000000018
2019,4,48,4.5,0.20000000000000018
2019,4,49,4.5,0.20000000000000018
2019,4,50,4.5,0.20000000000000018
2019,4,51,4.5,0.20000000000000018
2019,4,52,4.5,0.20000000000000018
2019,4,53,4.5,0.20000000000000018
2019,5,1,5.0,0.5
2019,5,2,5.0,0.5
2019,5,3,5.0,0.5
2019,5,4,5.0,0.5
2019,5,5,5.0,0.5
2019,5,6,5.0,0.5
2019,5,7,5.0,0.5
2019,5,8,5.0,0.5
2019,5,9,5.0,0.5
2019,5,10,5.0,0.5
2019,5,11,5.0,0.5
2019,5,12,5.0,0.5
2019,5,13,5.0,0.5
2019,5,14,5.0,0.5
2019,5,15,5.0,0.5
2019,5,16,5.0,0.5
2019,5,17,5.0,0.5
2019,5,18,5.0,0.5
2019,5,19,5.0,0.5
2019,5,20,5.0,0.5
2019,5,21,5.0,0.5
2019,5,22,5.0,0.5
2019,5,23,5.0,0.5
2019,5,24,5.0,0.5
